iter	Passed	Remaining
405	6206	6023
406	6219	6006
407	6232	5988
408	6247	5972
409	6262	5956
410	6278	5942
411	6292	5926
412	6306	5909
413	6318	5891
414	6331	5873
415	6345	5857
416	6358	5840
417	6372	5823
418	6384	5805
419	6396	5787
420	6410	5770
421	6423	5753
422	6436	5736
423	6448	5718
424	6462	5701
425	6475	5685
426	6489	5668
427	6502	5652
428	6514	5634
429	6528	5617
430	6542	5601
431	6556	5584
432	6569	5567
433	6581	5550
434	6595	5534
435	6608	5517
436	6623	5501
437	6637	5485
438	6649	5468
439	6662	5451
440	6675	5434
441	6690	5418
442	6704	5402
443	6717	5385
444	6728	5368
445	6742	5351
446	6755	5335
447	6769	5318
448	6782	5301
449	6795	5285
450	6810	5269
451	6824	5254
452	6839	5238
453	6852	5222
454	6865	5205
455	6880	5190
456	6894	5174
457	6909	5159
458	6924	5144
459	6939	5129
460	6955	5115
461	6972	5101
462	6989	5087
463	7005	5072
464	7021	5058
465	7037	5044
466	7052	5028
467	7066	5012
468	7081	4997
469	7097	4983
470	7111	4967
471	7125	4951
472	7139	4935
473	7153	4919
474	7166	4903
475	7180	4887
476	7195	4872
477	7210	4857
478	7224	4841
479	7238	4825
480	7252	4809
481	7266	4794
482	7280	4778
483	7294	4762
484	7308	4746
485	7321	4730
486	7336	4715
487	7351	4699
488	7365	4684
489	7380	4669
490	7394	4653
491	7408	4638
492	7423	4622
493	7436	4606
494	7451	4591
495	7464	4575
496	7478	4559
497	7493	4544
498	7508	4528
499	7521	4512
500	7535	4497
501	7549	4481
502	7564	4466
503	7577	4450
504	7592	4435
505	7607	4420
506	7621	4404
507	7635	4388
508	7648	4372
509	7663	4357
510	7677	4341
511	7693	4327
512	7708	4312
513	7723	4297
514	7737	4281
515	7751	4266
516	7765	4250
517	7779	4235
518	7793	4219
519	7807	4204
520	7822	4188
521	7837	4173
522	7851	4158
523	7864	4142
524	7878	4126
525	7892	4111
526	7907	4096
527	7921	4080
528	7936	4065
529	7950	4050
530	7965	4035
531	7979	4019
532	7992	4003
533	8006	3988
534	8020	3972
535	8035	3957
536	8049	3942
537	8061	3925
538	8082	3913
539	8104	3902
540	8124	3889
541	8138	3874
542	8158	3861
543	8172	3845
544	8186	3830
545	8200	3815
546	8214	3799
547	8227	3783
548	8243	3768
549	8258	3753
550	8273	3738
551	8286	3722
552	8300	3707
553	8314	3692
554	8328	3676
555	8341	3660
556	8355	3645
557	8369	3629
558	8383	3614
559	8396	3598
560	8408	3582
561	8422	3566
562	8436	3551
563	8449	3535
564	8462	3519
565	8475	3503
566	8488	3488
567	8501	3472
568	8514	3456
569	8528	3441
570	8540	3425
571	8553	3409
572	8567	3394
573	8582	3378
574	8595	3363
575	8609	3348
576	8622	3332
577	8634	3316
578	8648	3301
579	8662	3285
580	8676	3270
581	8690	3255
582	8703	3239
583	8715	3223
584	8728	3208
585	8742	3192
586	8755	3177
587	8768	3161
588	8782	3146
589	8795	3130
590	8810	3115
591	8823	3100
592	8835	3084
593	8848	3068
594	8861	3053
595	8876	3038
596	8890	3022
597	8903	3007
598	8916	2992
599	8930	2976
600	8943	2961
601	8958	2946
602	8972	2931
603	8985	2915
604	8999	2900
605	9012	2885
606	9025	2869
607	9040	2854
608	9052	2839
609	9066	2823
610	9079	2808
611	9092	2793
612	9106	2777
613	9119	2762
614	9131	2746
615	9144	2731
616	9157	2716
617	9170	2700
618	9183	2685
619	9196	2669
620	9209	2654
621	9222	2639
622	9236	2624
623	9250	2609
624	9263	2593
625	9277	2578
626	9290	2563
627	9305	2548
628	9319	2533
629	9332	2518
630	9346	2503
631	9358	2487
632	9372	2472
633	9386	2457
634	9400	2442
635	9414	2427
636	9427	2412
637	9440	2397
638	9453	2381
639	9466	2366
640	9479	2351
641	9491	2335
642	9505	2321
643	9519	2305
644	9533	2290
645	9545	2275
646	9558	2260
647	9571	2245
648	9585	2230
649	9599	2215
650	9611	2199
651	9624	2184
652	9638	2169
653	9652	2154
654	9666	2139
655	9679	2124
656	9692	2109
657	9705	2094
658	9718	2079
659	9732	2064
660	9745	2049
661	9757	2033
662	9770	2018
663	9783	2003
664	9796	1988
665	9810	1973
666	9822	1958
667	9835	1943
668	9849	1928
669	9865	1914
670	9878	1899
671	9890	1883
672	9903	1868
673	9915	1853
674	9928	1838
675	9942	1823
676	9955	1808
677	9967	1793
678	9980	1778
679	9993	1763
680	10006	1748
681	10018	1733
682	10031	1718
683	10044	1703
684	10056	1688
685	10069	1673
686	10081	1658
687	10094	1643
688	10107	1628
689	10119	1613
690	10132	1598
691	10146	1583
692	10158	1568
693	10172	1553
694	10184	1538
695	10197	1523
696	10210	1508
697	10222	1493
698	10234	1478
699	10247	1463
700	10261	1449
701	10275	1434
702	10288	1419
703	10300	1404
704	10313	1389
705	10326	1374
706	10339	1360
707	10351	1345
708	10364	1330
709	10377	1315
710	10391	1300
711	10403	1285
712	10416	1270
713	10428	1256
714	10441	1241
715	10454	1226
716	10467	1211
717	10480	1196
718	10494	1182
719	10507	1167
720	10520	1152
721	10532	1137
722	10546	1123
723	10559	1108
724	10573	1093
725	10585	1079
726	10597	1064
727	10610	1049
728	10623	1034
729	10637	1020
730	10649	1005
731	10661	990
732	10675	975
733	10689	961
734	10703	946
735	10715	931
736	10728	917
737	10740	902
