iter	RMSE
254	0.1814535038
255	0.1811943828
256	0.1810246358
257	0.180884593
258	0.1806934554
259	0.1804893112
260	0.180264966
261	0.1801231097
262	0.179809951
263	0.1796559434
264	0.1795192528
265	0.1793470621
266	0.1791768137
267	0.1790119055
268	0.1789381613
269	0.1787935787
270	0.1786464001
271	0.1784657939
272	0.1782132381
273	0.1779576342
274	0.1777184052
275	0.1775739437
276	0.1773873823
277	0.1772458803
278	0.1771574357
279	0.1769362511
280	0.176727995
281	0.1766004357
282	0.1764442238
283	0.1762999682
284	0.1761767899
285	0.1760547454
286	0.1758602171
287	0.1756747577
288	0.1754182383
289	0.1751215037
290	0.1750173353
291	0.1749070435
292	0.1747038679
293	0.1745564947
294	0.1744245914
295	0.1742303086
296	0.1740275214
297	0.1738560327
298	0.1737047195
299	0.1735646979
300	0.1734386219
301	0.1733407211
302	0.1732353871
303	0.1730961651
304	0.17297436
305	0.1728573799
306	0.1727378274
307	0.1726476968
308	0.1724640316
309	0.1723152948
310	0.1722165829
311	0.172043708
312	0.171935535
313	0.1717583703
314	0.1716101105
315	0.1714612625
316	0.171369826
317	0.1712066363
318	0.1711111836
319	0.1709239615
320	0.1708273582
321	0.1707262947
322	0.1705337052
323	0.1704360031
324	0.1702672135
325	0.1701157231
326	0.1699604174
327	0.1697986695
328	0.1697137462
329	0.169590417
330	0.1693967195
331	0.1693021044
332	0.1691652542
333	0.1690833419
334	0.1689392994
335	0.168830134
336	0.1686884069
337	0.1685821222
338	0.1684742541
339	0.1683320617
340	0.1680842578
341	0.168014146
342	0.1677497193
343	0.1676064396
344	0.1674855969
345	0.1673526644
346	0.1672892527
347	0.1672088541
348	0.167054353
349	0.1669443068
350	0.1667861786
351	0.1665963188
352	0.1664909642
353	0.1663923301
354	0.166259015
355	0.1661258938
356	0.1660140469
357	0.1659212068
358	0.1657871912
359	0.1655641716
360	0.1653521545
361	0.1652939571
362	0.1650978455
363	0.1648962319
364	0.1648205977
365	0.1645821514
366	0.1644219855
367	0.1643121693
368	0.1642011565
369	0.1641503741
370	0.1640194214
371	0.1638208429
372	0.1635895713
373	0.1633397436
374	0.1632243916
375	0.1631405931
376	0.1629688608
377	0.1628458628
378	0.1627232683
379	0.1625944606
380	0.1624991373
381	0.1623857093
382	0.1622745961
383	0.1620720055
384	0.1619231412
385	0.1616494512
386	0.1615442286
387	0.1613339187
388	0.1611132713
389	0.1609655232
390	0.160850598
391	0.1606893849
392	0.160563878
393	0.1604349279
394	0.160342644
395	0.160191079
396	0.1599572138
397	0.1597907822
398	0.1596826092
399	0.1595815447
400	0.1594701058
401	0.1593994085
402	0.1592053225
403	0.1590819147
404	0.1589544467
405	0.1588796272
406	0.15877595
407	0.158719087
408	0.158550781
409	0.1583920128
410	0.1582610806
411	0.1581546879
412	0.1579967243
413	0.1578968149
414	0.157778198
415	0.1576812471
416	0.1574639442
417	0.1572909559
418	0.1571186272
419	0.1569849815
420	0.1568861153
421	0.1567890809
422	0.1567152834
423	0.1565366832
424	0.1564008055
425	0.1563183147
426	0.1561353683
427	0.1560779416
428	0.1560052471
429	0.1558338281
430	0.1556705967
431	0.1555072855
432	0.1553668138
433	0.155241896
434	0.1550373211
435	0.15489089
436	0.1547648953
437	0.1546158176
438	0.1545050363
439	0.1544095857
440	0.1542926714
441	0.154186315
442	0.1540712805
443	0.1538916607
444	0.1537765305
445	0.1536932739
446	0.1535406844
447	0.1534653893
448	0.153278506
449	0.15321644
450	0.1531164671
451	0.1529610943
452	0.1528830757
453	0.1527284825
454	0.1526652576
455	0.1524532015
456	0.1523174087
457	0.1521731666
458	0.1519498011
459	0.1518215053
460	0.1517391286
461	0.1516154013
462	0.1514438288
463	0.1513247141
464	0.1512430499
465	0.1511091391
466	0.1510016224
467	0.1508837635
468	0.1508369497
469	0.150728772
470	0.1506663942
471	0.150512145
472	0.1503783548
473	0.1502899581
474	0.1502333463
475	0.1501495615
476	0.1500779812
477	0.1499005086
478	0.1497834411
479	0.1496705696
480	0.1495262787
481	0.149368154
482	0.1491676982
483	0.1491070132
484	0.1490131179
485	0.1489245047
486	0.1487501017
487	0.1485921488
488	0.1483779695
489	0.1482631822
490	0.1481729166
491	0.1479624516
492	0.1477816839
493	0.1476231569
494	0.1474439406
495	0.1473120273
496	0.1472351252
497	0.1470922104
498	0.1469742566
499	0.146782326
500	0.1467113731
501	0.1465898548
502	0.1464881359
503	0.1463238994
504	0.1461946084
505	0.1460543109
506	0.1459524907
507	0.1458055296
508	0.145685056
509	0.1455957927
510	0.1454977768
511	0.145431434
512	0.1452844376
513	0.145136464
514	0.1449780401
515	0.1448898534
516	0.1448082452
517	0.1446536413
518	0.1445436644
519	0.1444210735
520	0.1443015435
521	0.1441983557
522	0.1440952188
523	0.1439882318
524	0.1438667466
525	0.1437526453
526	0.1436659751
527	0.1435179057
528	0.1434600875
529	0.1432949389
530	0.1431625114
531	0.1430510745
532	0.1429857426
533	0.1428793002
534	0.1427638605
535	0.1426591782
536	0.1425512166
537	0.1424801142
538	0.1424102863
539	0.1423405414
540	0.1422896328
541	0.1422400095
542	0.1421983247
543	0.1421135068
544	0.1420441789
545	0.1419126454
546	0.1418434545
547	0.1416504626
548	0.1414806466
549	0.1413693296
550	0.1412633937
551	0.1411718951
552	0.1410611669
553	0.1410062528
554	0.1408830926
555	0.1407907112
556	0.1406380059
557	0.1405601478
558	0.1405040277
559	0.1404131709
560	0.1403207882
561	0.1402422815
562	0.1401409571
563	0.1400149372
564	0.1398995716
565	0.1398182254
566	0.1397117686
567	0.1396138595
568	0.139538177
569	0.1394813043
570	0.1393996492
571	0.1392616638
572	0.1392121307
573	0.1391255258
574	0.1390563602
575	0.1389929748
576	0.138866639
577	0.1387669583
578	0.1386816806
579	0.1385483763
580	0.1384502234
581	0.1382953088
582	0.1382729829
583	0.1381330909
584	0.1380404963
585	0.1379153349
586	0.1378411902
587	0.13774589
588	0.1376312755
589	0.1375737803
590	0.1374981188
591	0.1373611469
592	0.1372229474
593	0.1371505296
594	0.137104881
595	0.1370639018
596	0.1369530521
597	0.1368454036
598	0.1367596634
599	0.136624461
600	0.1365166924
601	0.1364229685
602	0.136342676
603	0.1361749055
604	0.1361402276
605	0.1360450668
606	0.1359934349
607	0.1359321503
608	0.1357637795
609	0.1356347673
610	0.1356018112
611	0.1355132283
612	0.1354233325
613	0.1353542954
614	0.135258148
615	0.1351682202
616	0.1350854007
617	0.1349833881
618	0.1348970534
619	0.1348828437
620	0.1348637414
621	0.1348033825
622	0.1347251842
623	0.1346178394
624	0.1345754218
625	0.1345078965
626	0.1343622163
627	0.134331629
628	0.1342169885
629	0.1341480592
630	0.1340277484
631	0.1339849301
632	0.1339006688
633	0.1338476879
634	0.133783201
635	0.1337426721
636	0.1337166344
637	0.1336178933
638	0.1334766306
639	0.1334152959
640	0.1333708449
641	0.1333008387
642	0.1332269866
643	0.1330990798
644	0.13302062
645	0.1329501741
646	0.1328629905
647	0.1327854196
648	0.132605601
649	0.1324916634
650	0.1323845114
651	0.1322324688
652	0.1321454558
653	0.1320237397
654	0.1319114043
655	0.1318705441
656	0.1317234629
657	0.1316816828
658	0.1316024312
659	0.1315132756
660	0.131373879
661	0.131276973
662	0.1311942469
663	0.1310724459
664	0.1310170519
665	0.1308162526
666	0.1307415305
667	0.1306645246
668	0.1306032756
669	0.1305678506
670	0.1304639215
671	0.1304211316
672	0.1303585821
673	0.130322218
674	0.1302530752
675	0.1301453581
676	0.130047567
677	0.1299647661
678	0.129890654
679	0.1298504934
680	0.12970665
681	0.1295991815
682	0.1294791467
683	0.1293928712
684	0.1293643456
685	0.1292739981
686	0.1292252895
687	0.1291574273
688	0.1290829592
689	0.1289880298
690	0.1288665749
691	0.1287953102
692	0.1287529319
693	0.1287025171
694	0.1286473083
695	0.1285530193
696	0.128438361
697	0.1283412298
698	0.1282370506
699	0.128202163
700	0.1280631372
701	0.1279873641
702	0.1279567353
703	0.1278569705
704	0.1277772496
705	0.1277318647
706	0.1276899636
707	0.1275962645
708	0.1274611483
709	0.127440147
710	0.1274142034
711	0.1273792692
712	0.1273055823
713	0.127189806
714	0.1271058654
715	0.1270561007
716	0.1269605582
717	0.1268772526
718	0.1267647305
719	0.1266716452
720	0.1266432533
721	0.1265779955
722	0.1264800603
723	0.1263764063
724	0.1263355562
725	0.1263144522
726	0.1262642404
727	0.126205043
728	0.1261455695
729	0.1260951642
730	0.1260600595
731	0.1260383084
732	0.1259508683
733	0.1258442437
734	0.1258016042
735	0.1257159136
736	0.1256256764
737	0.125543754
738	0.1254979076
739	0.1254500078
740	0.1253904315
741	0.1252819673
742	0.1251878959
743	0.1251330881
744	0.1250343693
745	0.1249530837
746	0.1248973851
747	0.1248209297
748	0.1246958912
749	0.1246181793
750	0.1245468878
751	0.1244764127
752	0.1243917239
753	0.1243386628
754	0.1242808533
755	0.1242275153
756	0.1241421371
757	0.1241084585
758	0.123978875
759	0.1238994612
760	0.1238780037
761	0.1238144315
762	0.1237687977
763	0.1236279168
764	0.1235255304
765	0.1233967521
766	0.1232878212
767	0.1232024335
768	0.1231051597
769	0.1230588044
770	0.1229675334
771	0.1229172857
772	0.1228653044
773	0.1228143819
774	0.1227279439
775	0.1226607517
776	0.1226005567
777	0.1225792107
778	0.1224922215
779	0.1224634379
780	0.1223619612
781	0.1223084125
782	0.1222850507
783	0.1222316642
784	0.1221546863
785	0.1221047863
786	0.1220038121
787	0.1219554169
788	0.1219149896
789	0.1218668124
790	0.1218147253
791	0.1217635564
792	0.1216315456
793	0.1215788556
794	0.121491079
795	0.1214444186
796	0.1214113512
797	0.1213829049
798	0.1213590904
799	0.1212482303
